event, click, i, 1, j, 0, index, 2, t, 1543354437.044
event, click, i, 0, j, 0, index, 0, t, 1543354440.235
event, click, i, 0, j, 1, index, 1, t, 1543354442.276
event, click, i, 2, j, 0, index, 4, t, 1543354444.796
event, click, i, 1, j, 0, index, 2, t, 1543354447.211
event, click, i, 2, j, 1, index, 5, t, 1543354449.38
event, click, i, 1, j, 1, index, 3, t, 1543354451.602
event, click, i, 2, j, 1, index, 5, t, 1543354453.571
event, click, i, 0, j, 1, index, 1, t, 1543354455.748
event, click, i, 0, j, 0, index, 0, t, 1543354458.307
event, click, i, 0, j, 1, index, 1, t, 1543354460.82
event, click, i, 1, j, 0, index, 2, t, 1543354463.211
event, click, i, 2, j, 0, index, 4, t, 1543354530.094
event, click, i, 0, j, 0, index, 0, t, 1543354532.403
event, click, i, 0, j, 1, index, 1, t, 1543354534.588
event, click, i, 1, j, 0, index, 2, t, 1543354537.274
event, click, i, 1, j, 1, index, 3, t, 1543354539.954
event, click, i, 0, j, 0, index, 0, t, 1543354542.526
event, click, i, 2, j, 1, index, 5, t, 1543354545.018
event, click, i, 0, j, 1, index, 1, t, 1543354547.403
event, click, i, 1, j, 1, index, 3, t, 1543354550.059
event, click, i, 0, j, 1, index, 1, t, 1543354552.234
event, click, i, 1, j, 1, index, 3, t, 1543354554.366
event, click, i, 0, j, 1, index, 1, t, 1543354556.258
event, click, i, 1, j, 0, index, 2, t, 1543354558.771
event, click, i, 0, j, 0, index, 0, t, 1543354561.274
event, click, i, 2, j, 1, index, 5, t, 1543354563.331
event, click, i, 2, j, 0, index, 4, t, 1543354565.732
event, click, i, 0, j, 1, index, 1, t, 1543354568.187
event, click, i, 2, j, 1, index, 5, t, 1543354570.627
event, click, i, 0, j, 0, index, 0, t, 1543354573.115
event, click, i, 1, j, 1, index, 3, t, 1543354575.562
event, click, i, 1, j, 0, index, 2, t, 1543354578.228
event, click, i, 1, j, 1, index, 3, t, 1543354580.498
event, click, i, 0, j, 0, index, 0, t, 1543354582.891
event, click, i, 2, j, 0, index, 4, t, 1543354585.451
event, click, i, 2, j, 1, index, 5, t, 1543354587.842
event, start, t, 1543355941.284
event, click, i, 2, j, 0, index, 4, t, 1543355998.888
event, click, i, 0, j, 1, index, 1, t, 1543356001.926
event, click, i, 2, j, 1, index, 5, t, 1543356005.517
event, click, i, 2, j, 1, index, 5, t, 1543356007.998
event, click, i, 1, j, 1, index, 3, t, 1543356010.964
event, click, i, 1, j, 1, index, 3, t, 1543356011.357
event, click, i, 2, j, 1, index, 5, t, 1543356016.268
event, click, i, 2, j, 1, index, 5, t, 1543356016.54
event, click, i, 2, j, 1, index, 5, t, 1543356018.172
event, click, i, 1, j, 1, index, 3, t, 1543356020.876
event, click, i, 1, j, 1, index, 3, t, 1543356021.085
event, click, i, 2, j, 1, index, 5, t, 1543356025.061
event, click, i, 2, j, 1, index, 5, t, 1543356025.252
event, click, i, 2, j, 0, index, 4, t, 1543356028.068
event, click, i, 2, j, 0, index, 4, t, 1543356028.269
event, click, i, 2, j, 0, index, 4, t, 1543356029.924
event, click, i, 1, j, 0, index, 2, t, 1543356032.174
event, click, i, 2, j, 1, index, 5, t, 1543356034.892
event, click, i, 2, j, 1, index, 5, t, 1543356036.653
event, click, i, 0, j, 1, index, 1, t, 1543356039.517
event, click, i, 0, j, 0, index, 0, t, 1543356043.301
event, click, i, 0, j, 0, index, 0, t, 1543356045.013
event, click, i, 1, j, 1, index, 3, t, 1543356046.988
event, click, i, 2, j, 1, index, 5, t, 1543356050.916
event, click, i, 2, j, 1, index, 5, t, 1543356052.523
event, click, i, 2, j, 1, index, 5, t, 1543356053.684
event, click, i, 2, j, 1, index, 5, t, 1543356054.676
event, click, i, 2, j, 1, index, 5, t, 1543356056.164
event, click, i, 2, j, 1, index, 5, t, 1543356058.205
event, click, i, 2, j, 1, index, 5, t, 1543356058.564
event, click, i, 1, j, 1, index, 3, t, 1543356142.99
event, click, i, 1, j, 1, index, 3, t, 1543356144.011
event, click, i, 1, j, 1, index, 3, t, 1543356146.852
event, click, i, 1, j, 1, index, 3, t, 1543356154.029
event, start, t, 1543356159.569
event, click, i, 1, j, 1, index, 3, t, 1543356162.327
event, click, i, 1, j, 0, index, 2, t, 1543356168.596
event, click, i, 2, j, 0, index, 4, t, 1543356184.173
event, click, i, 2, j, 1, index, 5, t, 1543356186.812
event, click, i, 2, j, 1, index, 5, t, 1543356188.949
event, click, i, 1, j, 0, index, 2, t, 1543356191.228
event, click, i, 0, j, 1, index, 1, t, 1543356193.931
event, click, i, 2, j, 1, index, 5, t, 1543356196.638
event, click, i, 2, j, 1, index, 5, t, 1543356197.107
event, click, i, 1, j, 0, index, 2, t, 1543356199.789
event, click, i, 1, j, 1, index, 3, t, 1543356202.013
event, click, i, 1, j, 1, index, 3, t, 1543356203.837
event, click, i, 0, j, 0, index, 0, t, 1543356205.877
event, click, i, 0, j, 0, index, 0, t, 1543356207.838
event, click, i, 2, j, 0, index, 4, t, 1543356210.108
event, click, i, 2, j, 1, index, 5, t, 1543356213.276
event, click, i, 0, j, 0, index, 0, t, 1543356217.06
event, click, i, 1, j, 1, index, 3, t, 1543356220.8
event, click, i, 0, j, 1, index, 1, t, 1543356224.093
event, click, i, 0, j, 1, index, 1, t, 1543356226.253
event, click, i, 0, j, 1, index, 1, t, 1543356227.341
event, click, i, 0, j, 1, index, 1, t, 1543356229.795
event, click, i, 2, j, 1, index, 5, t, 1543356231.223
event, click, i, 2, j, 0, index, 4, t, 1543356234.364
event, click, i, 0, j, 1, index, 1, t, 1543356237.708
event, click, i, 1, j, 1, index, 3, t, 1543356242.526
event, click, i, 1, j, 1, index, 3, t, 1543356247.956
event, click, i, 1, j, 1, index, 3, t, 1543356249.26
event, start, t, 1543358345.363
event, start, t, 1543360542.852
event, click, i, 1, j, 0, index, 2, t, 1543360616.253
event, click, i, 2, j, 1, index, 5, t, 1543360619.594
event, click, i, 1, j, 1, index, 3, t, 1543360623.299
event, click, i, 0, j, 1, index, 1, t, 1543360626.724
event, click, i, 0, j, 0, index, 0, t, 1543360628.802
event, click, i, 1, j, 0, index, 2, t, 1543360630.153
event, click, i, 2, j, 0, index, 4, t, 1543360630.977
event, click, i, 2, j, 1, index, 5, t, 1543360632.233
event, click, i, 0, j, 0, index, 0, t, 1543360669.298
event, click, i, 2, j, 1, index, 5, t, 1543360672.978
event, click, i, 0, j, 0, index, 0, t, 1543360676.778
event, click, i, 2, j, 1, index, 5, t, 1543360680.657
event, click, i, 0, j, 1, index, 1, t, 1543360684.556
event, click, i, 2, j, 0, index, 4, t, 1543360688.114
event, click, i, 1, j, 1, index, 3, t, 1543360691.217
event, click, i, 1, j, 0, index, 2, t, 1543360694.724
event, click, i, 2, j, 1, index, 5, t, 1543360697.969
event, click, i, 0, j, 1, index, 1, t, 1543360700.801
event, click, i, 2, j, 0, index, 4, t, 1543360704.457
event, click, i, 1, j, 0, index, 2, t, 1543360707.381
event, click, i, 1, j, 1, index, 3, t, 1543360710.17
event, click, i, 1, j, 0, index, 2, t, 1543360713.778
event, click, i, 0, j, 0, index, 0, t, 1543360717.385
event, click, i, 2, j, 1, index, 5, t, 1543360720.472
event, click, i, 0, j, 1, index, 1, t, 1543360723.737
event, click, i, 2, j, 0, index, 4, t, 1543360726.905
event, click, i, 1, j, 1, index, 3, t, 1543360729.65
event, click, i, 0, j, 1, index, 1, t, 1543360732.593
event, click, i, 1, j, 0, index, 2, t, 1543360812.452
event, click, i, 2, j, 1, index, 5, t, 1543360814.992
event, click, i, 2, j, 0, index, 4, t, 1543360817.857
event, click, i, 1, j, 1, index, 3, t, 1543360821.066
event, click, i, 1, j, 0, index, 2, t, 1543360824.354
event, click, i, 0, j, 1, index, 1, t, 1543360827.745
event, click, i, 1, j, 0, index, 2, t, 1543360831.162
event, click, i, 2, j, 1, index, 5, t, 1543360834.259
event, click, i, 0, j, 1, index, 1, t, 1543360837.562
event, click, i, 2, j, 0, index, 4, t, 1543360840.899
event, click, i, 2, j, 1, index, 5, t, 1543360844.337
event, click, i, 1, j, 1, index, 3, t, 1543360847.281
event, click, i, 1, j, 0, index, 2, t, 1543360850.293
event, click, i, 1, j, 1, index, 3, t, 1543360853.562
event, click, i, 0, j, 1, index, 1, t, 1543360856.682
event, click, i, 2, j, 0, index, 4, t, 1543360859.619
event, click, i, 2, j, 1, index, 5, t, 1543360863.155
event, click, i, 2, j, 1, index, 5, t, 1543360865.513
event, click, i, 2, j, 1, index, 5, t, 1543360866.387
